RX Cal Data Subarray 4,RX Cal Data Subarray 2,RX Cal Data Subarray 1,RX Cal Data Subarray 3
-4743.128166147097,9063.291741323294,-32768.0,322.0
-29224.902484668513,-9111.77355307786,-32768.0,-6903.0
-18599.051400270193,647.0560353905078,-32768.0,1721.0
-46333.197402326885,-11764.828180207629,-32768.0,-4559.0
-46333.197402326885,-718.9714577014752,-32768.0,1760.0
-42431.857630265986,-1837.5968846742842,-32768.0,-14566.0
3944.2593109939344,-2774.112318130304,-32768.0,-32768.0
-3854.305685706395,1584.3212538278572,-12199.0,-9863.0
-1499.1095567741836,-1827.0641135097774,4440.0,7425.0
308.7960563535364,1618.680574349632,-7075.0,28001.0
-642.8386550562865,-3964.4151970438006,7785.0,32767.0
1627.7748567568108,13776.24803430205,7100.0,32767.0
-1627.4799657551732,33185.097711544506,-243.0,32767.0
10265.233560912076,32452.243180288686,2022.0,32767.0
544.0112745627833,31992.79130620026,4605.0,32767.0
2265.891744396122,31603.487420483863,7972.0,32767.0
2205.689148600437,31603.487420483863,-1531.0,32767.0
2585.7618802148986,-9702.334851042386,4553.0,29072.0
808.7364128666119,24027.1055608521,-132.0,-1675.0
-495.42664514735986,-33891.59042821258,-7787.0,-671.0
